District,CrimeRate,ReligionRatio,FiscalIndependence,VolunteerRate
Jongno-gu,18.4,48.5,72.1,12.3
Jung-gu,17.9,46.8,74.5,11.9
Yongsan-gu,19.3,49.2,75.0,12.7
Seongdong-gu,16.8,51.0,70.8,13.2
Gwangjin-gu,15.5,50.6,68.9,13.5
Dongdaemun-gu,18.2,47.1,67.8,12.0
Jungnang-gu,17.1,46.0,66.5,12.2
Seongbuk-gu,17.9,49.4,64.3,13.1
Gangbuk-gu,16.3,50.1,63.5,13.7
Dobong-gu,16.9,52.0,62.9,13.9
Nowon-gu,14.8,54.2,65.1,14.8
Eunpyeong-gu,15.1,53.6,67.3,14.5
Seodaemun-gu,14.7,52.7,68.2,15.0
Mapo-gu,15.5,51.5,69.4,15.2
Yangcheon-gu,13.9,55.4,71.2,15.6
Gangseo-gu,14.2,54.0,70.0,15.0
Guro-gu,17.5,48.9,66.4,12.9
Geumcheon-gu,17.8,47.8,65.9,13.1
Yeongdeungpo-gu,19.1,49.6,73.5,13.0
Dongjak-gu,14.8,51.0,71.9,14.6
Gwanak-gu,16.2,50.8,68.7,13.8
Seocho-gu,12.5,56.1,78.2,16.0
Gangnam-gu,13.1,57.3,79.8,15.9
Songpa-gu,13.4,56.8,77.4,15.5
Gangdong-gu,13.9,55.7,74.1,15.4
